Day_of_Week,Accident_Location_A,Accident_Location_A_Chainage_km,Accident_Location_A_Chainage_km_RoadSide,Causes_D,Road_Feature_E,Road_Condition_F,Weather_Conditions_H,Vehicle_Type_Involved_J_V1,Vehicle_Type_Involved_J_V2,Year,Month,Day,Hour
3,1,496.6,2,3,4,1,1,6,5.0,2017.0,1.0,11.0,12
2,2,171.8,2,2,4,1,2,14,5.0,2017.0,7.0,6.0,15
5,2,242.2,2,4,4,1,1,1,5.0,2017.0,7.0,6.0,7
1,1,1.5,1,2,4,1,1,6,5.0,2017.0,7.0,6.0,17
5,2,207.4,2,4,4,1,2,3,5.0,2017.0,7.0,6.0,20
6,2,481.451,2,2,4,1,1,5,5.0,2015.0,12.0,9.0,5
1,1,495.8,1,2,4,1,1,9,5.0,2016.0,11.0,4.0,18
6,2,444.0,1,2,4,1,1,5,5.0,2017.0,7.0,6.0,13
1,2,226.2,1,1,4,2,1,6,6.0,2017.0,7.0,6.0,23
4,2,181.0,1,2,2,4,8,6,5.0,2013.0,12.0,12.0,9
7,2,454.76,1,2,4,1,1,1,5.0,2017.0,7.0,6.0,5
7,2,49.14,2,4,4,1,1,1,5.0,2023.0,11.0,3.0,13
7,2,177.2,1,1,4,1,1,1,1.0,2017.0,7.0,6.0,12
3,2,488.3,1,1,4,1,1,6,5.0,2017.0,7.0,6.0,11
6,2,233.8,2,2,4,1,1,11,5.0,2017.0,7.0,6.0,7
5,2,430.0,1,3,4,1,1,6,5.0,2017.0,7.0,6.0,16
5,1,499.95,2,1,4,1,1,9,5.0,2017.0,8.0,9.0,6
2,2,416.44,1,2,4,1,1,1,5.0,2017.0,7.0,6.0,15
4,1,493.6,1,3,4,1,1,6,5.0,2016.0,7.0,1.0,18
1,2,191.1,1,4,4,1,1,8,5.0,2022.0,12.0,6.0,12
6,2,18.095,2,2,4,1,1,1,5.0,2022.0,2.0,9.0,4
6,2,405.9,1,3,4,1,1,1,5.0,2017.0,7.0,6.0,6
6,2,23.65,2,2,4,1,1,11,5.0,2017.0,7.0,6.0,6
3,2,177.8,1,3,4,1,2,15,5.0,2017.0,7.0,6.0,14
2,1,413.76,1,2,4,1,1,6,5.0,2017.0,7.0,6.0,15
3,2,507.1,2,2,4,1,5,5,6.0,2017.0,7.0,6.0,21
4,1,496.85,2,1,4,1,1,6,5.0,2016.0,3.0,3.0,0
5,2,216.41,1,3,4,1,1,7,5.0,2017.0,7.0,6.0,18
4,2,222.8,2,2,4,1,1,1,5.0,2018.0,10.0,5.0,7
4,2,240.4,1,2,4,1,1,1,5.0,2017.0,7.0,6.0,6
7,2,500.12,1,2,4,1,1,6,5.0,2017.0,7.0,6.0,20
3,2,430.0,1,2,4,1,1,6,5.0,2017.0,7.0,6.0,18
3,2,460.72,1,3,4,1,1,5,5.0,2017.0,7.0,6.0,5
